origen,destino,tipo,relacion_original,negada,documento_id,documento_fecha,frase_evidencia
Capitán,Fiscal,SOLICITA,SOLICITA,False,1858,1982-02-24,Fiscal solicitando la lectura de las siguientes diligencias:  - 1ª y 3ª declaraciones del Capitán de la Guardia Civil Don JOSE LUIS ABAD GUTIERREZ.
DOC_1858,Capitán,MENCIONA,MENCIONA_DOCUMENTO,False,1858,1982-02-24,
DOC_1858,Fiscal,MENCIONA,MENCIONA_DOCUMENTO,False,1858,1982-02-24,
Capitán,La Guardia Civil,SOLICITA,SOLICITA,False,1858,1982-02-24,Fiscal solicitando la lectura de las siguientes diligencias:  - 1ª y 3ª declaraciones del Capitán de la Guardia Civil Don JOSE LUIS ABAD GUTIERREZ.
DOC_1858,La Guardia Civil,MENCIONA,MENCIONA_DOCUMENTO,False,1858,1982-02-24,
Fiscal,La Guardia Civil,SOLICITA,SOLICITA,False,1858,1982-02-24,Fiscal solicitando la lectura de las siguientes diligencias:  - 1ª y 3ª declaraciones del Capitán de la Guardia Civil Don JOSE LUIS ABAD GUTIERREZ.
Capitán,Fiscal,SOLICITA,SOLICITA,False,1858,1982-02-24,Fiscal solicitó la lectura de:  - 1ª declaración y declaración indagatoria del Capitán de la Guardia Civil Don CARLOS LAZARO GORTAIN.
Capitán,Fiscal,MENCIONA,MENCIONA,False,1858,1982-02-24,Fiscal solicitó la lectura de:  - 1ª declaración y declaración indagatoria del Capitán de la Guardia Civil Don CARLOS LAZARO GORTAIN.
Capitán,La Guardia Civil,SOLICITA,SOLICITA,False,1858,1982-02-24,Fiscal solicitó la lectura de:  - 1ª declaración y declaración indagatoria del Capitán de la Guardia Civil Don CARLOS LAZARO GORTAIN.
Capitán,La Guardia Civil,MENCIONA,MENCIONA,False,1858,1982-02-24,Fiscal solicitó la lectura de:  - 1ª declaración y declaración indagatoria del Capitán de la Guardia Civil Don CARLOS LAZARO GORTAIN.
Fiscal,La Guardia Civil,SOLICITA,SOLICITA,False,1858,1982-02-24,Fiscal solicitó la lectura de:  - 1ª declaración y declaración indagatoria del Capitán de la Guardia Civil Don CARLOS LAZARO GORTAIN.
Fiscal,La Guardia Civil,MENCIONA,MENCIONA,False,1858,1982-02-24,Fiscal solicitó la lectura de:  - 1ª declaración y declaración indagatoria del Capitán de la Guardia Civil Don CARLOS LAZARO GORTAIN.
El Mando,La Sala,SOLICITA,SOLICITA,False,1858,1982-02-24,"Añadían que consideraban tener derecho a ser amparados por el Mando a este respecto, a tenor de lo establecido en las Reales Ordenanzas y solicitaban que por la Sala se adoptaran las medidas oportunas para retirar las acreditaciones de/los representantes del diario en cuestión."
DOC_1858,El Mando,MENCIONA,MENCIONA_DOCUMENTO,False,1858,1982-02-24,
El Mando,Reales Ordenanzas,SOLICITA,SOLICITA,False,1858,1982-02-24,"Añadían que consideraban tener derecho a ser amparados por el Mando a este respecto, a tenor de lo establecido en las Reales Ordenanzas y solicitaban que por la Sala se adoptaran las medidas oportunas para retirar las acreditaciones de/los representantes del diario en cuestión."
DOC_1858,Reales Ordenanzas,MENCIONA,MENCIONA_DOCUMENTO,False,1858,1982-02-24,
La Sala,Reales Ordenanzas,SOLICITA,SOLICITA,False,1858,1982-02-24,"Añadían que consideraban tener derecho a ser amparados por el Mando a este respecto, a tenor de lo establecido en las Reales Ordenanzas y solicitaban que por la Sala se adoptaran las medidas oportunas para retirar las acreditaciones de/los representantes del diario en cuestión."
Coronel Escandell,Defensor,SOLICITA,SOLICITA,False,1857,1982-02-25,"Al reanudarse la sesión, el Coronel ESCANDELL (defensor del Teniente General MILANS DEL BOSCH y del Coronel IBAÑEZ) solicitó la lectura de la declaración del Teniente General GUTIERREZ MELLADO -y de las Hojas de Servicios de sus defendidos."
DOC_1857,Coronel Escandell,MENCIONA,MENCIONA_DOCUMENTO,False,1857,1982-02-25,
