documento_id,documento_titulo,documento_url,documento_fecha,entidad_1,relacion,negada,entidad_2,frase_evidencia
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Comandante Cortina,NIEGA,False,Público Asistente,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Comandante Cortina,CONOCE,True,Sumario,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Comandante Cortina,NIEGA,False,Sumario,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Procesados,CONOCE,True,Público Asistente,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Procesados,NIEGA,False,Público Asistente,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Procesados,CONOCE,True,Sumario,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Procesados,NIEGA,False,Sumario,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Público Asistente,CONOCE,True,Sumario,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Público Asistente,NIEGA,False,Sumario,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Coronel San Martin,CONOCE,True,General Juste,"- Han sido leidas todas las certificaciones del General JUSTE, de las que se puede deducir: que no tenía conocimiento previo de los hechos; que el Coronel SAN MARTIN le ocultó los preparativos; que no se vió privado del ejercicio del mando; y que cuando pudo trató de confirmar la situación, obrando posteriormente en consecuencia."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Coronel San Martin,CONOCE,True,Mando,"- Han sido leidas todas las certificaciones del General JUSTE, de las que se puede deducir: que no tenía conocimiento previo de los hechos; que el Coronel SAN MARTIN le ocultó los preparativos; que no se vió privado del ejercicio del mando; y que cuando pudo trató de confirmar la situación, obrando posteriormente en consecuencia."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,General Juste,CONOCE,True,Mando,"- Han sido leidas todas las certificaciones del General JUSTE, de las que se puede deducir: que no tenía conocimiento previo de los hechos; que el Coronel SAN MARTIN le ocultó los preparativos; que no se vió privado del ejercicio del mando; y que cuando pudo trató de confirmar la situación, obrando posteriormente en consecuencia."
1858,Vista oral 2/81 del Consejo Supremo de Justicia Militar (24 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1858,1982-02-24,La Sala,NIEGA,False,Procesados,El primer rumor es que los procesados se niegan a entrar en -la Sala con motivo del artículo antes citado.
1858,Vista oral 2/81 del Consejo Supremo de Justicia Militar (24 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1858,1982-02-24,La Sala,MENCIONA,False,Procesados,El primer rumor es que los procesados se niegan a entrar en -la Sala con motivo del artículo antes citado.
1858,Vista oral 2/81 del Consejo Supremo de Justicia Militar (24 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1858,1982-02-24,Defensores,NIEGA,False,La Sala,Después la noticia es que los defensores también se niegan a/entrar en la Sala.
1858,Vista oral 2/81 del Consejo Supremo de Justicia Militar (24 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1858,1982-02-24,Defensores,NIEGA,False,La Defensa,"Parece ser que los defensores se niegan, si no se dan estas -/ condiciones, a ejercer la defensa y se habla de que habrá que nombrar defensores de oficio."
1858,Vista oral 2/81 del Consejo Supremo de Justicia Militar (24 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1858,1982-02-24,Diario 16,PERTENECE_A,False,Periodistas,Con los periodistas pertenecientes a Diario 16 salen también Miguel Ángel Aguilar y dos periodistas más.
